web_code,province,municipality,barangay,_location_latitude,_location_longitude,today,meta/instanceID,_uuid,_submission_time
A_PH072209001_00007,Cebu,Bantayan,Atop-Atop,11.24647543,123.7555216,1/8/07,uuid:38de5f5f-6989-456e-affd-d2341e9dba27,38de5f5f-6989-456e-affd-d2341e9dba27,2014-07-04T13:23:46
A_PH072209001_00002,Cebu,Bantayan,Atop-Atop,11.24981875,123.7558288,1/11/07,uuid:079e2320-6dcd-43cd-97a0-500e756ce02b,079e2320-6dcd-43cd-97a0-500e756ce02b,2014-07-08T00:08:11
A_PH072209012_00018,Cebu,Bantayan,Kangkaibe,11.18667615,123.7389216,1/11/07,uuid:ea620c7f-8c86-41c3-bc4b-a66ff5ff7ee5,ea620c7f-8c86-41c3-bc4b-a66ff5ff7ee5,2014-07-08T00:05:48
A_PH072209012_00017,Cebu,Bantayan,Kangkaibe,11.18651696,123.7389887,1/11/07,uuid:e9b471fb-a30f-44a1-940a-d56569dfadde,e9b471fb-a30f-44a1-940a-d56569dfadde,2014-07-08T00:08:09
A_PH072209009_00105,Cebu,Bantayan,Guiwanon,11.2013466,123.7164657,7/29/14,uuid:6d04f96b-d13b-43c0-a068-e69862bb58c4,6d04f96b-d13b-43c0-a068-e69862bb58c4,2014-07-29T01:36:31
A_PH072209012_00056,Cebu,Bantayan,Kangkaibe,11.18777668,123.7354388,7/28/14,uuid:2119a00c-e21f-4a52-915c-35321a360453,2119a00c-e21f-4a52-915c-35321a360453,2014-07-28T08:34:51
A_PH072209012_00040,Cebu,Bantayan,Kangkaibe,11.19818066,123.7426547,7/31/14,uuid:80b8da81-48ac-4fd9-b35d-d8c35bff2f4b,80b8da81-48ac-4fd9-b35d-d8c35bff2f4b,2014-08-01T23:56:38
A_PH072209009_00114,Cebu,Bantayan,Guiwanon,11.19219228,123.7079391,7/29/14,uuid:bf2612cb-2cb2-4ec3-9010-b6f3e385afcd,bf2612cb-2cb2-4ec3-9010-b6f3e385afcd,2014-08-01T23:57:55
A_PH072209009_00168,Cebu,Bantayan,Guiwanon,11.17367843,123.7313419,7/31/14,uuid:9194f6ac-4e36-45fa-a5b6-b7c6670cf0a2,9194f6ac-4e36-45fa-a5b6-b7c6670cf0a2,2014-08-01T23:57:56
A_PH175307001_02664,Palawan,Busuanga,Bogtong,12.08714988,119.9403869,8/20/14,uuid:44d9b4ab-ba36-4f21-8191-dd97484bcbd6,44d9b4ab-ba36-4f21-8191-dd97484bcbd6,2014-08-29T13:06:29
A_PH175307001_02662,Palawan,Busuanga,Bogtong,12.08634582,119.9409158,8/20/14,uuid:93950f29-4b29-4ab8-b982-b7b52e9f77b7,93950f29-4b29-4ab8-b982-b7b52e9f77b7,2014-08-29T13:06:42
A_PH175307001_02663,Palawan,Busuanga,Bogtong,12.08667215,119.9403215,8/20/14,uuid:c6ce71cf-f423-4724-952c-40eb91f11f0f,c6ce71cf-f423-4724-952c-40eb91f11f0f,2014-08-29T13:07:20
A_PH175309009_02667,Palawan,Coron,Decalachao,12.15309236,120.0890626,10/8/00,uuid:6ebd0c6d-15a2-44aa-8d6a-90578f472609,6ebd0c6d-15a2-44aa-8d6a-90578f472609,2014-08-30T04:45:39
A_PH175309009_02665,Palawan,Coron,Decalachao,12.15318495,120.0896594,10/8/00,uuid:3c84a368-fd2a-4ce7-a4ce-48a9ff564088,3c84a368-fd2a-4ce7-a4ce-48a9ff564088,2014-08-30T04:49:41
A_PH175309009_02666,Palawan,Coron,Decalachao,12.15108198,120.0917298,10/8/00,uuid:ead50334-6073-436c-aafc-e25674ae4a31,ead50334-6073-436c-aafc-e25674ae4a31,2014-08-30T05:07:00
